id,f0,f1,f2,product
aTbUt,-0.3718663476341053,-1.8624944390925984,3.0022100474201463,80.85978309461906
CK34V,9.015121878749532,-13.881455312250052,1.995362861003728,53.90652206307938
ioXCO,-6.507568106885531,-4.817448154393075,1.003449379147117,30.132363614746943
xk6tF,14.560845295664263,-10.667754547666105,1.9951751435243368,53.90652206307938
F9AmG,6.090476493242772,-4.494722712206277,0.0138147410208352,0.0
kCOUH,-11.95214071706678,-1.2972943240313146,4.008072137737189,110.992146709366
ptl36,-3.0787187107998286,-2.971227447536973,5.007847741710722,137.94540774090564
dq0ke,-2.9025900399676163,0.6543807664971729,2.99902742216025,84.03888567782631
5PlSO,-8.381416265792641,-10.85299345270832,3.9993850593399407,110.992146709366
IKOOn,-2.569246893568579,-10.781238638943307,1.000110028923752,26.95326103153969
6kcpd,13.88263031759434,-0.5998227961466656,4.000910207334666,107.81304412615876
NgHPc,-13.53360242824192,5.018686897436133,-0.0002494310496303,3.179102583207246
h8JVq,-0.8996737631237259,0.7917801234089747,1.9958986861996493,53.90652206307938
hFo8J,14.9364288476202,-2.177674962365672,0.0027506363749904,0.0
SUdw5,8.260285702815787,-9.845743068220289,2.9972457374075643,80.85978309461906
nNGye,-2.425167448902056,-1.9657685165112089,2.002540179665348,57.08562464628662
GxIpc,10.899110004213526,-4.569143061710517,0.0020898426143003,0.0
i5tQq,-13.322438346395767,-6.834484356869919,2.0023198498075105,57.08562464628662
2Tdzf,10.034580893936994,-5.846431365910485,4.003795269169235,107.81304412615876
dQ2oO,11.276252045094562,-0.1354724385289936,4.0002899059168175,107.81304412615876
qs6Gx,-2.08662018782222,-0.4150033448560429,0.0057136610362566,3.179102583207246
3nCMX,0.0387693099907977,-6.468920116814197,2.992077492171948,80.85978309461906
JAkRq,13.475317926549234,8.511317136192059,2.0014241648317297,53.90652206307938
yP1eO,-13.08200909200356,-1.5211586837885498,2.0015661498918407,57.08562464628662
XLUmn,4.708792049496783,-1.7447817585284522,0.9977297115949192,30.132363614746943
AHFcE,5.686667122311661,1.554736821838817,0.0050341387008691,0.0
lIAgT,-1.9292642157783024,-7.098481476246147,5.0004749437018985,137.94540774090564
HgtkM,4.604698803671818,-2.1551469959551044,0.0025807096838299,0.0
ZFRZ7,9.486717227915586,-0.7651818655519609,3.995506195741181,107.81304412615876
thlCS,-10.042058216505987,-2.125640487896576,0.9966548618179624,30.132363614746943
SO21o,-9.56040815065208,-5.758548474470563,2.010520231242052,57.08562464628662
atSDz,4.508679010678819,-5.909174930987844,3.0071821301384323,80.85978309461906
BIetJ,18.88579644060649,-4.911198252032579,2.9967173494642214,80.85978309461906
QmKdF,4.52592084748479,-5.97955205864997,1.9972050752622263,53.90652206307938
KOYnP,2.6159174896243247,1.3714723641197375,2.993657154308909,80.85978309461906
fVNew,-8.335618485720326,-17.381208917036954,2.0027809373371404,57.08562464628662
Lb34D,2.281355281059116,0.9630578036036584,4.004690373661441,110.992146709366
QiVzE,3.39938517706352,-7.102966900495237,2.996957704614766,80.85978309461906
7UbAY,1.0875403830131765,-10.687607096735524,4.003883607650798,110.992146709366
2sb4N,7.949954104771407,0.2468805112409891,5.008472420338925,134.76630515769844
qS2e9,-13.665214162949946,-3.2798305764872824,0.9952002305874972,30.132363614746943
Xfhg1,-7.994560558870526,-4.285262205550389,4.991124549466536,137.94540774090564
R1TOp,-2.6734991045253915,-8.336882170130593,5.0022084895643735,137.94540774090564
II6Cp,16.504279541235835,-6.75160822938815,2.004068145406672,53.90652206307938
mCxvJ,-7.468797219899934,-3.674167134805556,0.9969658830112816,30.132363614746943
gMavJ,11.00786187541516,-7.889717625977441,3.0052117705738755,80.85978309461906
tLg4p,-10.532562710960828,-5.306640804558749,3.005588842579185,84.03888567782631
Ho2YK,-12.384282553754186,-6.826386725218876,4.00342227470638,110.992146709366
UxztB,-13.93750923168166,-9.3647040095738,2.008963658622434,57.08562464628662
XUEb4,-8.867399634581307,-3.908476901536138,1.9962460500242591,57.08562464628662
KjY4L,10.242212840559851,4.901468206358605,1.0044297419549242,26.95326103153969
JEzrN,-5.986721667433858,-8.058230774811388,4.004460258972791,110.992146709366
pIpPS,6.054306995239732,-3.611643682718445,0.9932941086626126,26.95326103153969
